ticker,fiscal_year,query_used,url,status,text_path,char_count,error,fetched_at_utc
UNITED AIRLINES (UAL),2023,UNITED AIRLINES (UAL) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2023.txt,68507,,2026-04-13T01:03:31.652788+00:00
UNITED AIRLINES (UAL),2024,UNITED AIRLINES (UAL) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2024.txt,68507,,2026-04-13T01:04:07.203994+00:00
UNITED AIRLINES (UAL),2025,UNITED AIRLINES (UAL) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/07/21/united-airlines-holdings-inc-ual-q2-2021-earnings/,ok,data\raw\earnings\motley_fool_transcripts\UNITED AIRLINES (UAL)\FY2025.txt,68507,,2026-04-13T01:04:50.516095+00:00
MSC (MSM),2020,MSC (MSM) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2020/10/27/msc-industrial-direct-msm-q4-2020-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2020.txt,57336,,2026-04-13T01:05:27.604680+00:00
MSC (MSM),2021,MSC (MSM) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/04/07/msc-industrial-direct-msm-q2-2021-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2021.txt,65582,,2026-04-13T01:06:07.813586+00:00
MSC (MSM),2022,MSC (MSM) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/10/20/msc-industrial-direct-msm-q4-2022-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2022.txt,45410,,2026-04-13T01:06:47.659290+00:00
MSC (MSM),2023,MSC (MSM) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/10/25/msc-industrial-direct-msm-q4-2023-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2023.txt,61623,,2026-04-13T01:07:19.624512+00:00
MSC (MSM),2024,MSC (MSM) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/10/24/msc-industrial-direct-msm-q4-2024-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2024.txt,55955,,2026-04-13T01:07:59.642698+00:00
MSC (MSM),2025,MSC (MSM) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/05/28/monro-mnro-q4-2025-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\MSC (MSM)\FY2025.txt,35995,,2026-04-13T01:08:35.028606+00:00
UPS (UPS),2020,UPS (UPS) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/02/02/united-parcel-service-ups-q4-2020-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2020.txt,59333,,2026-04-13T01:09:00.133944+00:00
